Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]",GINI index (World Bank estimate) [SI.POV.GINI],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],"Population ages 15-64, total [SP.POP.1564.TO]",Labor force with advanced education (% of total working-age population with advanced education) [SL.TLF.ADVN.ZS]
2016,YR2016,Fiji,FJI,8447.26417897152,..,2.25194497862787,587548,70.2572021484375
2016,YR2016,Finland,FIN,39659.1660392991,..,8.44146076250197,3453483,73.3147964477539
2016,YR2016,France,FRA,38062.6397284874,..,26.669379348586,41773667,75.8787002563477
2016,YR2016,French Polynesia,PYF,..,..,..,193009,..
2016,YR2016,Gabon,GAB,16756.6944675998,..,..,1181086,..
2016,YR2016,"Gambia, The",GMB,1554.89713835209,..,1.25046300471275,1062851,..
2016,YR2016,Georgia,GEO,9276.76624499826,36.5,3.89919177974105,2466709,..
2016,YR2016,Germany,DEU,44431.8228379944,..,16.9051898591463,54054431,74.28759765625
2016,YR2016,Ghana,GHA,3982.76946707348,..,1.50926341447118,16341478,..
2016,YR2016,Gibraltar,GIB,..,..,..,..,..
2016,YR2016,Greece,GRC,24211.7408896851,..,11.4442841031658,7054236,76.6423034667969
2016,YR2016,Greenland,GRL,..,..,2.24112800482959,..,..
2016,YR2016,Grenada,GRD,13167.0521552704,..,..,71263,..
2016,YR2016,Guam,GUM,..,..,..,106990,..
2016,YR2016,Guatemala,GTM,7368.61032177815,..,5.44699554407166,9907744,74.7358016967773
2016,YR2016,Guinea,GIN,1894.44129905562,..,..,6748593,..
2016,YR2016,Guinea-Bissau,GNB,1498.83983814272,..,..,1006798,..
2016,YR2016,Guyana,GUY,7266.3352852239,..,0.177512412395614,505827,..
2016,YR2016,Haiti,HTI,1654.17053675815,..,..,6719916,..
2016,YR2016,Heavily indebted poor countries (HIPC),HPC,2113.66930616884,..,..,399139133,..
2016,YR2016,High income,HIC,42350.8308677509,..,17.8093274907108,818235288,72.9961351002929
2016,YR2016,Honduras,HND,4406.77353237576,50,2.48277561295263,5756968,80.5740966796875
2016,YR2016,"Hong Kong SAR, China",HKG,54412.9249387607,..,12.121234474299,5357341,71.8600006103516
