Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2005 US$) [NY.GDP.PCAP.KD],GINI index (World Bank estimate) [SI.POV.GINI],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Population ages 15-64 (% of total) [SP.POP.1564.TO.ZS]
2016,YR2016,Afghanistan,AFG,1802.69556548499,617.889972323552,..,..,53.5989174986911
2016,YR2016,Albania,ALB,11356.3413288171,4683.80021257139,..,0.647750656841347,69.4436888572377
2016,YR2016,Algeria,DZA,13921.1800218255,4827.72425138732,..,0.343523928820444,64.973928024325
2016,YR2016,American Samoa,ASM,..,9614.47267179797,..,..,..
2016,YR2016,Andorra,AND,..,42958.558392534,..,..,..
2016,YR2016,Angola,AGO,5972.451512997,3576.18689373314,..,..,50.6908628095137
2016,YR2016,Antigua and Barbuda,ATG,21013.0176273358,13315.5086311154,..,..,69.0520289611046
2016,YR2016,Arab World,ARB,15500.530522791,6449.36504919855,..,2.381363859635,62.3851440372785
2016,YR2016,Argentina,ARG,18584.580004917,10206.2495504416,42.4,8.79281472735163,63.8805193371653
2016,YR2016,Armenia,ARM,8190.23928885988,3932.55461733401,32.5,5.93860928912599,69.0155209763623
2016,YR2016,Aruba,ABW,..,..,..,3.75873566084448,69.1524679933602
2016,YR2016,Australia,AUS,44493.4808943831,55731.4955736202,..,14.7815586115506,65.8488024959786
2016,YR2016,Austria,AUT,44464.3502683082,48077.8783610298,..,17.5747647786539,66.8762899389668
2016,YR2016,Azerbaijan,AZE,16001.3233967209,5861.51196206606,..,2.08350108444463,70.9815846708652
2016,YR2016,"Bahamas, The",BHS,27613.5179396955,26439.0536351685,..,..,70.8584676100114
2016,YR2016,Bahrain,BHR,43642.9725745003,22291.4042492524,..,1.04816288352759,77.3655231547653
2016,YR2016,Bangladesh,BGD,3319.35280468543,1029.57797933458,32.4,..,66.0216686480326
2016,YR2016,Barbados,BRB,16741.3797629383,16273.4065921271,..,24.3481458379211,66.2412805793766
2016,YR2016,Belarus,BLR,16773.1935504926,6229.20674452567,27,4.69403946187155,68.9812977621829
2016,YR2016,Belgium,BEL,42083.6443038217,45457.8993419591,..,12.536063077866,64.6001511307203
2016,YR2016,Belize,BLZ,7919.14724135852,4367.49987563697,..,..,64.2423846040648
2016,YR2016,Benin,BEN,2009.61832073663,837.199037667056,..,2.83005446183473,53.8984214744666
2016,YR2016,Bermuda,BMU,..,..,..,47.4396604353701,..
2016,YR2016,Bhutan,BTN,8253.29378307761,2801.27524003561,..,..,68.2766228149894
2016,YR2016,Bolivia,BOL,6707.95618414272,2457.62596155017,44.6,4.45749700399482,61.3888725098233
2016,YR2016,Bosnia and Herzegovina,BIH,11337.5702648861,5382.62414642085,..,2.61068663329421,69.6459524751935
2016,YR2016,Botswana,BWA,15727.167803336,7485.04391177323,..,0.397624563167079,64.5535182601122
2016,YR2016,Brazil,BRA,14077.1214085544,10868.6534435351,..,13.4487063167767,69.6163989839485
2016,YR2016,British Virgin Islands,VGB,..,..,..,..,..
2016,YR2016,Brunei Darussalam,BRN,71788.7833914688,31430.9626624001,..,..,72.2901445193244
2016,YR2016,Bulgaria,BGR,17794.5427573699,7967.70816911051,..,7.95768121794087,65.4326148209618
2016,YR2016,Burkina Faso,BFA,1642.32200318544,663.961762877322,..,4.38681780125663,52.2026545237902
2016,YR2016,Burundi,BDI,721.176561528182,218.28352838019,..,..,52.5984175204438
2016,YR2016,Cabo Verde,CPV,6065.27874039611,3447.56007669879,..,..,64.9026984950701
2016,YR2016,Cambodia,KHM,3465.12556490306,1079.1135407797,..,0.432365532862983,64.3503737064921
2016,YR2016,Cameroon,CMR,3346.81779272084,1495.44336202907,..,..,53.9314436177805
2016,YR2016,Canada,CAN,43238.2596047198,50407.3413301242,..,12.9347142393499,67.4563931451634
2016,YR2016,Cayman Islands,CYM,..,..,..,..,..
2016,YR2016,Central African Republic,CAF,642.873494030895,325.720465732059,..,0.0873599427389017,52.8398098559163
2016,YR2016,Chad,TCD,1878.37848258326,874.767072140967,..,..,50.1439089300755
2016,YR2016,Channel Islands,CHI,..,..,..,..,67.735093380981
2016,YR2016,Chile,CHL,22614.3936667162,14958.5622484938,..,6.94889325403681,68.7031267989499
2016,YR2016,China,CHN,14400.8850630561,6894.46452231334,..,25.2361420030407,72.1765545818009
2016,YR2016,Colombia,COL,13135.0098987578,7531.98257835885,50.8,9.82540373645253,68.7790882692129
2016,YR2016,Comoros,COM,1411.15233885964,768.438960248231,..,..,57.0987215953725
2016,YR2016,"Congo, Dem. Rep.",COD,805.064264107408,407.563714233201,..,..,50.6338111286692
2016,YR2016,"Congo, Rep.",COG,5250.86760824979,2771.39734452277,..,..,54.2339851508666
2016,YR2016,Costa Rica,CRI,15195.001412292,9583.86088930956,48.7,18.2583075336152,68.8702757966711
2016,YR2016,Cote d'Ivoire,CIV,3424.96402094039,1552.86101319083,..,..,54.5129015675653
2016,YR2016,Croatia,HRV,21799.9328108641,14635.880009797,..,11.6176682214858,65.9913629928333
2016,YR2016,Cuba,CUB,..,..,..,..,69.532777238584
2016,YR2016,Curacao,CUW,..,..,..,..,65.2697165732787
2016,YR2016,Cyprus,CYP,31331.3930028654,28448.8223566393,..,7.28218775272594,70.0046576220489
2016,YR2016,Czech Republic,CZE,31338.8752118175,21894.1126524738,..,13.8779987497323,66.2458968082679
2016,YR2016,Denmark,DNK,45991.2247756847,60670.2372143145,..,15.6724044174006,63.9748103510759
2016,YR2016,Djibouti,DJI,..,..,..,..,64.270061644875
2016,YR2016,Dominica,DMA,10151.3425573111,6880.62579537622,..,..,..
2016,YR2016,Dominican Republic,DOM,14120.2116371665,6917.60494356192,45.3,4.3765495024061,63.5542663951241
2016,YR2016,East Asia & Pacific,EAS,15788.2284896388,9547.66936367085,..,24.5341305510087,70.0660164505552
2016,YR2016,East Asia & Pacific (excluding high income),EAP,12838.0858310146,5800.72556103117,..,25.5916416242424,70.5874449934751
2016,YR2016,Ecuador,ECU,10424.2641539122,5191.09956048467,45,8.3702470613665,64.3928178998098
2016,YR2016,"Egypt, Arab Rep.",EGY,10324.1011436186,2725.67573301412,..,0.486580791772049,61.4386982719513
2016,YR2016,El Salvador,SLV,7164.14349682179,3402.60086125708,40,4.61690633964926,64.1158903416099
2016,YR2016,Equatorial Guinea,GNQ,24240.4282992522,12317.714226203,..,..,59.7814963691884
2016,YR2016,Eritrea,ERI,..,..,..,..,..
2016,YR2016,Estonia,EST,28109.81704489,18094.587299874,..,10.3438362689003,64.653523736668
2016,YR2016,Eswatini,SWZ,7723.6410594802,3906.26187791264,..,..,59.4670679280291
2016,YR2016,Ethiopia,ETH,1608.29347611692,511.187426515801,..,17.2435008060304,55.39422421933
2016,YR2016,Euro area,EMU,38359.7046325864,39259.4231870821,..,16.3501648091655,64.7146231591553
2016,YR2016,Europe & Central Asia,ECS,29176.6050048353,25139.2526508652,..,16.3583171018138,66.319356179958
2016,YR2016,Europe & Central Asia (excluding high income),ECA,18655.004632787,8977.83981005957,..,8.62032002057438,67.8537918770795
2016,YR2016,European Union,EUU,36357.0739211703,35809.9547486789,..,16.3394751355052,65.1063200065011
2016,YR2016,Faroe Islands,FRO,..,..,..,..,..
2016,YR2016,Fiji,FJI,8447.26417897152,4195.96809601537,..,2.25194497862787,65.3731808269171
2016,YR2016,Finland,FIN,39659.1660392991,45983.3133332131,..,8.44146076250197,62.8442675916187
2016,YR2016,France,FRA,38062.6397284874,41968.9815739992,..,26.669379348586,62.4795270260561
2016,YR2016,French Polynesia,PYF,..,..,..,..,68.8806172557529
2016,YR2016,Gabon,GAB,16756.6944675998,9552.7835336818,..,..,59.657255885232
2016,YR2016,"Gambia, The",GMB,1554.89713835209,531.919405879094,..,1.25046300471275,52.1388510479024
2016,YR2016,Georgia,GEO,9276.76624499826,4083.99815844957,36.5,3.89919177974105,66.3218699726525
2016,YR2016,Germany,DEU,44431.8228379944,45923.0075696152,..,16.9051898591463,65.640928159976
2016,YR2016,Ghana,GHA,3982.76946707348,1708.77991775341,..,1.50926341447118,57.9346813994165
2016,YR2016,Gibraltar,GIB,..,..,..,..,..
2016,YR2016,Greece,GRC,24211.7408896851,22687.6003260908,..,11.4442841031658,65.4626512332753
